class,trainset,testset,total
莲雾,156.0,39.0,195.0
黄桃,155.0,38.0,193.0
圣女果,158.0,39.0,197.0
芒果,139.0,34.0,173.0
菠萝,158.0,39.0,197.0
石榴,153.0,38.0,191.0
桑葚,156.0,39.0,195.0
沃柑,159.0,39.0,198.0
山竹,152.0,38.0,190.0
血橙,150.0,37.0,187.0
人参果,146.0,36.0,182.0
羊角蜜,157.0,39.0,196.0
菠萝莓,91.0,22.0,113.0
猕猴桃,158.0,39.0,197.0
哈密瓜,157.0,39.0,196.0
山楂,159.0,39.0,198.0
黑莓,150.0,37.0,187.0
沙棘,147.0,36.0,183.0
柚子,156.0,39.0,195.0
脐橙,154.0,38.0,192.0
杨桃,157.0,39.0,196.0
甘蔗,158.0,39.0,197.0
车厘子,136.0,33.0,169.0
杨梅,153.0,38.0,191.0
蛇皮果,138.0,34.0,172.0
西柚,147.0,36.0,183.0
百香果,151.0,37.0,188.0
牛油果,120.0,30.0,150.0
无花果,156.0,39.0,195.0
草莓,159.0,39.0,198.0
白兰瓜,103.0,25.0,128.0
椰子,159.0,39.0,198.0
西瓜,156.0,38.0,194.0
蓝莓,158.0,39.0,197.0
桂圆,159.0,39.0,198.0
佛手瓜,129.0,32.0,161.0
葡萄-红,160.0,39.0,199.0
毛丹,127.0,31.0,158.0
酸角,153.0,38.0,191.0
番石榴-红,121.0,30.0,151.0
荔枝,158.0,39.0,197.0
香橼,104.0,25.0,129.0
香蕉,155.0,38.0,193.0
水蜜桃,141.0,35.0,176.0
柠檬,122.0,30.0,152.0
甜瓜-白,68.0,17.0,85.0
胡萝卜,149.0,37.0,186.0
橘子,145.0,36.0,181.0
白心火龙果,148.0,37.0,185.0
梨,155.0,38.0,193.0
蟠桃,145.0,36.0,181.0
甜瓜-伊丽莎白,75.0,18.0,93.0
葡萄-白,125.0,31.0,156.0
杏,158.0,39.0,197.0
砂糖橘,148.0,36.0,184.0
芦柑,146.0,36.0,182.0
樱桃,133.0,33.0,166.0
枣,156.0,38.0,194.0
榴莲,159.0,39.0,198.0
粑粑柑,154.0,38.0,192.0
枇杷,151.0,37.0,188.0
西红柿,150.0,37.0,187.0
甜瓜-金,42.0,10.0,52.0
柿子,154.0,38.0,192.0
菠萝蜜,160.0,39.0,199.0
甜瓜-绿,35.0,8.0,43.0
羊奶果,156.0,39.0,195.0
油桃,160.0,39.0,199.0
树莓,149.0,37.0,186.0
西梅,158.0,39.0,197.0
红心火龙果,159.0,39.0,198.0
沙果,153.0,38.0,191.0
青苹果,156.0,39.0,195.0
番石榴-百,105.0,26.0,131.0
白萝卜,160.0,39.0,199.0
李子,154.0,38.0,192.0
金桔,145.0,36.0,181.0
红苹果,142.0,35.0,177.0
青柠,119.0,29.0,148.0
木瓜,156.0,38.0,194.0
腰果,160.0,40.0,200.0
