类别,precision,recall,f1-score,support,AUC
丝瓜,0.6818181818181818,0.8108108108108109,0.7407407407407407,37.0,0.9716559780119102
人参果,0.8461538461538461,0.9166666666666666,0.8799999999999999,36.0,0.9935987784824994
佛手瓜,0.9615384615384616,0.78125,0.8620689655172413,32.0,0.9898453878406709
冬瓜,0.7407407407407407,0.6666666666666666,0.7017543859649122,30.0,0.9791927627000696
南瓜,0.8857142857142857,0.8611111111111112,0.8732394366197184,36.0,0.994538407329105
哈密瓜,0.7954545454545454,0.8974358974358975,0.8433734939759037,39.0,0.9889252591380251
木瓜,0.8888888888888888,0.8421052631578947,0.8648648648648649,38.0,0.9735165940328528
甜瓜-伊丽莎白,0.5,0.4444444444444444,0.4705882352941176,18.0,0.953948857207513
甜瓜-白,0.5,0.6470588235294118,0.5641025641025642,17.0,0.9836202773792444
甜瓜-绿,0.5714285714285714,0.5,0.5333333333333333,8.0,0.9473552894211577
甜瓜-金,0.7777777777777778,0.7,0.7368421052631577,10.0,0.9963927855711423
白兰瓜,0.6,0.48,0.5333333333333332,25.0,0.9718181818181817
羊角蜜,0.925,0.9487179487179488,0.9367088607594936,39.0,0.9991271140207311
苦瓜,0.9166666666666666,0.8918918918918919,0.9041095890410958,37.0,0.9975377920293176
西瓜,0.7954545454545454,0.9210526315789472,0.8536585365853658,38.0,0.9976533690915186
西葫芦,0.7027027027027027,0.7878787878787878,0.7428571428571429,33.0,0.9828749681690858
黄瓜,0.7777777777777778,0.5833333333333334,0.6666666666666666,36.0,0.9513154803852478
macro avg,0.7568892348304113,0.7459073104249301,0.7475436620540972,509.0,0.9807598401546043
weighted avg,0.789044829958386,0.7858546168958742,0.7836641651816919,509.0,0.9829774552646968
